SACC code,Country of birth,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Territory
8401,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8402,Antigua/Barbuda,0,10,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,Australia
8403,Aruba,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,Australia
8404,Bahamas,10,10,10,20,10,10,10,20,10,10,10,10,10,10,10,10,0,10,10,Australia
8405,Barbados,10,10,10,30,20,20,10,20,20,10,20,20,10,10,10,20,10,10,10,Australia
8406,Cayman Islands,0,10,10,10,10,10,10,10,20,10,10,20,10,10,10,10,0,10,10,Australia
8407,Cuba,30,50,50,60,60,50,40,70,90,40,50,50,60,60,60,70,10,40,80,Australia
8408,Dominica,10,0,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8411,Dominican Rep,10,10,10,20,10,20,30,30,30,30,30,20,30,30,30,30,20,30,60,Australia
8412,Grenada,10,0,0,10,0,0,10,10,10,10,10,10,0,10,0,0,0,0,0,Australia
8413,Guadeloupe,0,10,0,0,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,Australia
8414,Haiti,10,10,0,10,10,10,10,10,10,20,10,10,10,20,10,10,0,10,20,Australia
8415,Jamaica,50,50,40,60,50,50,90,60,90,60,70,60,80,60,60,60,30,40,80,Australia
8416,Martinique,0,0,10,10,0,10,10,10,10,10,10,10,10,0,10,10,0,0,0,Australia
8417,Montserrat,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8421,Puerto Rico,10,10,10,30,10,20,10,10,30,20,20,20,30,30,20,30,0,10,30,Australia
8422,St Kitts/Nevis,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,Australia
8423,St Lucia,0,0,10,0,10,10,10,20,10,10,10,0,10,10,0,0,0,0,10,Australia
8424,St Vinc/Grenad,0,0,0,0,0,0,10,0,10,10,10,0,0,0,0,10,0,0,0,Australia
8425,Trinidad/Tobago,50,70,80,90,60,60,80,100,130,110,70,60,50,60,60,60,20,50,60,Australia
8426,Turks/Caicos Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8427,"Virgin Is, Brit",0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,Australia
8428,"Virgin Is, US",0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,10,0,0,0,Australia
8431,St Barthelemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8432,St Martin (Fr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8433,Bonaire/SE/Saba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8434,Curacao,0,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,0,0,10,Australia
8435,Sint Maarten Dp,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,Australia
9101,Benin,0,0,20,20,10,10,10,10,0,10,10,0,10,10,10,10,0,0,10,Australia
9102,Burkina Faso,0,0,10,10,0,10,0,10,0,0,10,0,0,0,0,10,0,0,10,Australia
9103,Cameroon,30,30,30,40,40,60,70,40,50,50,60,60,50,60,50,60,20,50,70,Australia
9104,Cabo Verde,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,0,0,10,Australia
9105,Cent Africa Rep,0,0,0,10,0,0,0,0,0,10,0,0,0,0,60,80,0,0,20,Australia
9106,Chad,0,0,10,10,0,10,10,10,10,0,10,0,0,0,20,30,0,0,10,Australia
9107,"Congo, Rep",300,120,130,50,110,120,100,190,40,30,30,50,80,50,50,60,30,50,50,Australia
9108,"Congo, Dem Rep",50,190,610,540,320,620,450,500,300,570,460,650,360,650,1500,710,50,220,240,Australia
9111,Cote d'Ivoire,130,70,90,80,90,100,40,50,30,40,40,20,50,20,30,40,10,20,30,Australia
9112,Equator Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
9113,Gabon,0,0,10,0,10,0,0,10,10,0,10,10,10,0,10,0,0,0,10,Australia
9114,Gambia,0,10,10,10,0,10,10,10,20,10,20,10,0,10,10,10,0,10,10,Australia
9115,Ghana,230,330,370,330,300,370,330,430,440,420,440,500,540,500,460,400,130,530,990,Australia
9116,Guinea,160,110,150,100,70,170,70,70,40,60,50,30,100,40,40,20,20,70,30,Australia
9117,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
9118,Liberia,860,570,570,270,310,340,110,170,130,160,90,100,140,80,50,40,40,80,100,Australia
9121,Mali,0,0,0,0,0,10,0,10,10,0,10,0,10,0,0,10,0,0,10,Australia
9122,Mauritania,0,10,0,50,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,Australia
9123,Niger,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,0,0,Australia
9124,Nigeria,280,330,460,460,610,630,580,630,850,1040,1210,1620,1850,1310,1260,1130,330,1850,2650,Australia
9125,Sao Tome/Princ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
9126,Senegal,20,20,20,70,20,20,20,20,20,20,20,20,20,30,20,30,10,20,30,Australia
9127,Sierra Leone,680,560,540,300,260,440,160,180,150,150,80,70,140,190,60,70,50,140,100,Australia
9128,Togo,10,10,50,110,50,60,50,20,20,20,10,10,10,10,10,10,0,10,10,Australia
9201,Angola,20,20,30,30,20,20,20,20,20,20,20,20,20,20,10,20,10,0,30,Australia
9202,Botswana,220,130,170,180,150,130,120,100,130,80,80,90,110,110,110,100,30,80,170,Australia
9203,Burundi,260,450,450,240,210,140,80,90,80,110,150,120,100,200,330,220,30,90,120,Australia
9204,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
9205,Djibouti,10,0,10,10,10,10,20,20,10,10,10,10,10,10,0,10,10,0,10,Australia
