SACC code,Country of birth,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Territory
8205,Colombia,310,280,310,420,610,830,1000,930,970,1300,1300,1290,1290,1700,1950,1980,1690,1700,1130,Australia
8206,Ecuador,60,50,50,60,50,50,60,60,100,120,220,270,170,150,140,120,80,100,60,Australia
8207,Falkland Is,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8208,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,Australia
8211,Guyana,10,10,10,10,10,20,10,10,30,10,10,20,30,10,10,10,10,10,10,Australia
8212,Paraguay,10,10,10,10,10,10,10,10,10,20,20,20,10,30,40,30,20,20,20,Australia
8213,Peru,130,130,130,180,290,290,290,290,270,290,340,330,320,260,330,330,160,300,230,Australia
8214,Suriname,0,10,0,10,10,10,0,0,0,0,0,10,0,0,10,0,0,0,0,Australia
8215,Uruguay,110,110,80,110,100,80,100,90,100,80,90,80,80,100,140,170,110,140,100,Australia
8216,Venezuela,90,70,70,80,80,80,110,130,160,200,180,190,210,300,240,170,120,220,130,Australia
8299,"S America, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8301,Belize,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,Australia
8302,Costa Rica,10,20,10,30,20,20,20,20,50,30,30,30,30,40,30,30,20,20,20,Australia
8303,El Salvador,80,80,60,70,80,50,70,50,50,70,70,80,70,60,90,40,30,50,60,Australia
8304,Guatemala,10,0,10,10,20,20,10,10,20,20,20,40,10,20,30,20,40,10,10,Australia
8305,Honduras,10,0,0,10,10,10,10,10,0,10,10,30,10,10,10,10,0,10,0,Australia
8306,Mexico,190,240,220,230,380,270,310,280,390,390,320,380,390,430,460,560,300,360,290,Australia
8307,Nicaragua,20,10,10,10,20,10,20,10,20,20,20,20,10,10,10,10,10,10,20,Australia
8308,Panama,10,10,20,10,20,10,10,10,20,10,20,20,10,10,20,10,10,20,10,Australia
8401,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8402,Antigua/Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8403,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8404,Bahamas,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,Australia
8405,Barbados,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,Australia
8406,Cayman Islands,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,Australia
8407,Cuba,0,10,20,20,40,10,20,20,20,30,30,30,30,30,40,30,10,20,30,Australia
8408,Dominica,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8411,Dominican Rep,10,10,0,10,10,10,10,20,30,10,20,20,10,20,20,20,10,20,10,Australia
8412,Grenada,10,0,0,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,Australia
8413,Guadeloupe,0,0,0,0,0,10,0,10,0,0,10,10,10,10,10,10,0,0,0,Australia
8414,Haiti,0,10,10,10,10,10,10,0,10,10,10,10,0,0,10,10,10,10,0,Australia
8415,Jamaica,20,20,30,40,40,30,30,30,40,30,30,60,40,40,50,40,30,20,30,Australia
8416,Martinique,0,0,10,0,10,0,0,0,0,0,10,0,10,0,10,0,0,0,0,Australia
8417,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8421,Puerto Rico,10,10,0,10,60,10,10,10,10,10,20,10,20,20,30,30,10,10,20,Australia
